Frequencia_Hz,Z_Real,Z_Imaginario,Fase_Graus,Magnitude_Ohm
2111.7830444482443,1921.4784475385843,-268.9905542216394,-7.969129937947734,1940.2152825436028
2131.3624718414376,1920.1324986665343,-271.0879627800075,-8.036015958497824,1939.174436712593
2151.1234301821673,1918.7655125688216,-273.1948855358976,-8.10333984495646,1938.116750277564
2171.067602537265,1917.377230493147,-275.31118296551364,-8.171101163782165,1937.0419952802883
2191.1966875781495,1915.9673929305627,-277.43670993318625,-8.239299377710893,1935.9499422226002
2211.5123997254886,1914.5357397085495,-279.571315596371,-8.30793384306208,1934.8403601138903
2232.0164692952344,1913.082010087792,-281.7148433111562,-8.377003807010988,1933.713016521163
2252.7106426459804,1911.6059428627163,-283.8671305383808,-8.446508404827803,1932.567677621705
2273.5966823277176,1910.1072764658454,-286.0280087504835,-8.51644665708457,1931.4041082584286
2294.676367231936,1908.5857490760272,-288.1973033391912,-8.58681746683057,1930.222071997956
2315.9514927431546,1907.0410987305904,-290.3748335241774,-8.657619616737303,1929.0213311914856
2337.423870891815,1905.4730634414782,-292.5604122628058,-8.72885176621382,1927.801647038521
2359.0953305086364,1903.8813813154043,-294.75384616109943,-8.800512448493784,1926.562779653498
2380.9677173803584,1902.26579067808,-296.9549353860598,-8.872600067695126,1925.3044881353806
2403.0428944069695,1900.6260302025537,-299.16347357948376,-8.945112895853777,1924.026530640277
2425.322741760353,1898.9618390416956,-301.3792477734129,-9.018049069932601,1922.7286644571268
2447.8091570444403,1897.2729569648686,-303.60203830736964,-9.091406588807084,1921.4106460865166
2470.5040554568254,1895.5591244988123,-305.8316187475274,-9.165183310229173,1920.0722313226752
2493.4093699518803,1893.8200830727656,-308.06775580797165,-9.239376947770854,1918.7131753386946
2516.527051405392,1892.05557516785,-310.3102092742135,-9.31398506774919,1917.3332327750304
2539.859068780724,1890.2653444707335,-312.55873192912037,-9.389005086134572,1915.9321578313259
2563.407409296515,1888.44913603158,-314.8130694814287,-9.464434265443957,1914.5097043615997
2587.1740785959237,1886.6066964263014,-317.07296049701506,-9.540269711621125,1913.0656259728532
2611.1611009174594,1884.7377739230992,-319.33813633310115,-9.616508370906034,1911.599676127117
2635.3705192673933,1882.8421186533053,-321.60832107557223,-9.69314702669536,1910.1116082469935
2659.8043955937583,1880.9194827865022,-323.883231479593,-9.770182296396483,1908.6011758247207
2684.464810961965,1878.969620709905,-326.16257691370816,-9.847610628277332,1907.068132534786
