frequencia,Z_real,Z_imag,fase
59600,1322.1104590292744,-56.79985057552118,-2.46
59800,1322.1104590292744,-56.79985057552118,-2.46
60000,1322.1104590292744,-56.79985057552118,-2.46
60200,1322.1104590292744,-56.79985057552118,-2.46
60400,1382.927893677693,2.413666957051748,0.1
60600,1382.927893677693,2.413666957051748,0.1
60800,1382.927893677693,2.413666957051748,0.1
61000,1290.8507978424811,-95.24719055924835,-4.22
61200,1382.927893677693,2.413666957051748,0.1
61400,1290.8507978424811,-95.24719055924835,-4.22
61600,1290.8507978424811,-95.24719055924835,-4.22
61800,1290.8507978424811,-95.24719055924835,-4.22
62000,1290.8507978424811,-95.24719055924835,-4.22
62200,1290.8507978424811,-95.24719055924835,-4.22
62400,1290.8507978424811,-95.24719055924835,-4.22
62600,1290.8507978424811,-95.24719055924835,-4.22
62800,1290.8507978424811,-95.24719055924835,-4.22
63000,1290.8507978424811,-95.24719055924835,-4.22
63200,1231.1693062968654,-35.464935252942745,-1.65
63400,1231.1693062968654,-35.464935252942745,-1.65
63600,1231.1693062968654,-35.464935252942745,-1.65
63800,1231.1693062968654,-35.464935252942745,-1.65
64000,1231.1693062968654,-35.464935252942745,-1.65
64200,1231.1693062968654,-35.464935252942745,-1.65
64400,1231.1693062968654,-35.464935252942745,-1.65
64600,1231.1693062968654,-35.464935252942745,-1.65
64800,1231.1693062968654,-35.464935252942745,-1.65
65000,1231.1693062968654,-35.464935252942745,-1.65
65200,1231.1693062968654,-35.464935252942745,-1.65
65400,1279.5511702441574,22.558041289243455,1.01
65600,1231.1693062968654,-35.464935252942745,-1.65
65800,1279.5511702441574,22.558041289243455,1.01
66000,1279.5511702441574,22.558041289243455,1.01
66200,1279.5511702441574,22.558041289243455,1.01
66400,1279.5511702441574,22.558041289243455,1.01
66600,1279.5511702441574,22.558041289243455,1.01
66800,1279.5511702441574,22.558041289243455,1.01
67000,1279.5511702441574,22.558041289243455,1.01
67200,1279.5511702441574,22.558041289243455,1.01
67400,1279.5511702441574,22.558041289243455,1.01
67600,1279.5511702441574,22.558041289243455,1.01
67800,1279.5511702441574,22.558041289243455,1.01
68000,1279.5511702441574,22.558041289243455,1.01
68200,1279.5511702441574,22.558041289243455,1.01
68400,1279.5511702441574,22.558041289243455,1.01
68600,1279.5511702441574,22.558041289243455,1.01
68800,1279.5511702441574,22.558041289243455,1.01
69000,1193.7318186504522,-86.61490657781476,-4.15
69200,1193.7318186504522,-86.61490657781476,-4.15
69400,1193.7318186504522,-86.61490657781476,-4.15
69600,1193.7318186504522,-86.61490657781476,-4.15
69800,1193.7318186504522,-86.61490657781476,-4.15
70000,1193.7318186504522,-86.61490657781476,-4.15
70200,1242.9035454060818,-26.686193377701617,-1.23
70400,1242.9035454060818,-26.686193377701617,-1.23
70600,1242.9035454060818,-26.686193377701617,-1.23
70800,1242.9035454060818,-26.686193377701617,-1.23
71000,1242.9035454060818,-26.686193377701617,-1.23
71200,1242.9035454060818,-26.686193377701617,-1.23
71400,1242.9035454060818,-26.686193377701617,-1.23
71600,1242.9035454060818,-26.686193377701617,-1.23
71800,1242.9035454060818,-26.686193377701617,-1.23
72000,1242.9035454060818,-26.686193377701617,-1.23
72200,1242.9035454060818,-26.686193377701617,-1.23
72400,1242.9035454060818,-26.686193377701617,-1.23
72600,1242.9035454060818,-26.686193377701617,-1.23
